분기코드,행정동코드,행정동명,총유동인구,남성유동인구,여성유동인구,연령대_10,연령대_20,연령대_30,연령대_40,연령대_50,연령대_60이상,최다성별,최다연령대,유동인구_gap,유동인구_delta
2023Q1,11110515,청운효자동,3555653.0,1537073.0,2018579.0,651642.0,482379.0,536397.0,635813.0,521752.0,727671.0,F,60대이상,0.0,0.0
2023Q2,11110515,청운효자동,3662829.0,1540083.0,2122746.0,755955.0,489936.0,538071.0,628500.0,535958.0,714410.0,F,10대,107176.0,0.03014242390919475
2023Q3,11110515,청운효자동,3457038.0,1472108.0,1984930.0,697337.0,456435.0,509481.0,595976.0,518663.0,679148.0,F,10대,-205791.0,-0.056183622003648015
2023Q4,11110515,청운효자동,3605198.0,1506626.0,2098572.0,734641.0,489785.0,533814.0,612266.0,535564.0,699127.0,F,10대,148160.0,0.042857498239822656
2024Q1,11110515,청운효자동,3586210.0,1518780.0,2067431.0,686977.0,490851.0,552372.0,613608.0,525910.0,716492.0,F,60대이상,-18988.0,-0.005266839713103155
2024Q2,11110515,청운효자동,3697084.0,1515525.0,2181560.0,763570.0,499676.0,569382.0,626972.0,536253.0,701232.0,F,10대,110874.0,0.030916761706648588
2024Q3,11110515,청운효자동,3461402.0,1444215.0,2017188.0,670093.0,458637.0,537247.0,595906.0,525387.0,674133.0,F,60대이상,-235682.0,-0.06374807821515549
2024Q4,11110515,청운효자동,3580355.0,1467219.0,2113136.0,704962.0,487537.0,553130.0,616048.0,532655.0,686022.0,F,10대,118953.0,0.03436555476653669
2025Q1,11110515,청운효자동,3322244.0,1398755.0,1923488.0,617483.0,442023.0,512462.0,582831.0,505315.0,662130.0,F,60대이상,-258111.0,-0.07209089601450136
2025Q2,11110515,청운효자동,3549035.0,1454708.0,2094326.0,698056.0,465669.0,549383.0,619762.0,538072.0,678093.0,F,10대,226791.0,0.06826440201261552
2025Q3,11110515,청운효자동,3274798.0,1391259.0,1883538.0,606134.0,427700.0,513320.0,582675.0,507456.0,637514.0,F,60대이상,-274237.0,-0.07727086377001069
2025Q4,11110515,청운효자동,3348036.0,1404710.0,1943326.0,612759.0,460079.0,531517.0,585928.0,511788.0,645961.0,F,60대이상,73238.0,0.022364127497329633
2023Q1,11110530,사직동,3886303.0,1824266.0,2062036.0,366574.0,598563.0,793376.0,789200.0,639767.0,698824.0,F,30대,0.0,0.0
2023Q2,11110530,사직동,3943057.0,1823766.0,2119292.0,395556.0,605062.0,807509.0,784549.0,637233.0,713149.0,F,30대,56754.0,0.014603596271314911
2023Q3,11110530,사직동,3866927.0,1801029.0,2065899.0,359440.0,596603.0,794911.0,775980.0,636765.0,703229.0,F,30대,-76130.0,-0.019307354674304777
2023Q4,11110530,사직동,4094242.0,1894282.0,2199960.0,406638.0,634506.0,827459.0,800825.0,680226.0,744589.0,F,30대,227315.0,0.05878440425692033
2024Q1,11110530,사직동,3896639.0,1797562.0,2099076.0,355366.0,602055.0,805513.0,785468.0,645829.0,702408.0,F,30대,-197603.0,-0.048263634636154906
2024Q2,11110530,사직동,3893005.0,1764792.0,2128214.0,372902.0,592181.0,803676.0,794677.0,638981.0,690588.0,F,30대,-3634.0,-0.0009325985804690129
2024Q3,11110530,사직동,3743471.0,1708012.0,2035460.0,336632.0,579438.0,768955.0,774539.0,624369.0,659538.0,F,40대,-149534.0,-0.03841094475861195
2024Q4,11110530,사직동,4046716.0,1821772.0,2224944.0,376231.0,632016.0,805056.0,821914.0,671951.0,739546.0,F,40대,303245.0,0.08100637082536499
2025Q1,11110530,사직동,3978820.0,1814538.0,2164282.0,339404.0,604573.0,788169.0,818720.0,674960.0,752995.0,F,40대,-67896.0,-0.016778049163815756
2025Q2,11110530,사직동,4099841.0,1839397.0,2260444.0,383906.0,631473.0,832673.0,840974.0,686909.0,723907.0,F,40대,121021.0,0.03041630433143494
2025Q3,11110530,사직동,3904600.0,1779380.0,2125221.0,343749.0,611113.0,800694.0,823966.0,660308.0,664770.0,F,40대,-195241.0,-0.04762160288655093
2025Q4,11110530,사직동,3910218.0,1769732.0,2140486.0,352115.0,615607.0,783058.0,807614.0,657669.0,694155.0,F,40대,5618.0,0.0014388157557752024
2023Q1,11110540,삼청동,931818.0,438444.0,493374.0,114599.0,150628.0,161935.0,171101.0,143049.0,190504.0,F,60대이상,0.0,0.0
2023Q2,11110540,삼청동,997813.0,469495.0,528319.0,133339.0,148928.0,173847.0,183270.0,152955.0,205477.0,F,60대이상,65995.0,0.07082391625832507
2023Q3,11110540,삼청동,940763.0,445116.0,495648.0,117953.0,145447.0,166834.0,173360.0,143479.0,193689.0,F,60대이상,-57050.0,-0.05717504181645261
2023Q4,11110540,삼청동,954306.0,450966.0,503339.0,117910.0,150301.0,163720.0,177540.0,146915.0,197917.0,F,60대이상,13543.0,0.01439576173807855
2024Q1,11110540,삼청동,890462.0,420849.0,469613.0,99522.0,140541.0,151334.0,173713.0,137338.0,188014.0,F,60대이상,-63844.0,-0.06690097306314746
2024Q2,11110540,삼청동,1014093.0,472938.0,541156.0,126746.0,156946.0,173859.0,192565.0,157783.0,206194.0,F,60대이상,123631.0,0.13883916438882293
2024Q3,11110540,삼청동,954713.0,455120.0,499592.0,116550.0,151330.0,159911.0,181513.0,150166.0,195243.0,F,60대이상,-59380.0,-0.05855478738143349
2024Q4,11110540,삼청동,999306.0,464349.0,534958.0,119528.0,157898.0,164267.0,189648.0,161104.0,206863.0,F,60대이상,44593.0,0.046708277775624696
2025Q1,11110540,삼청동,948998.0,461442.0,487557.0,99445.0,148872.0,162171.0,181928.0,158546.0,198037.0,F,60대이상,-50308.0,-0.05034293799897127
2025Q2,11110540,삼청동,1020583.0,464412.0,556172.0,121660.0,160112.0,177998.0,191979.0,165628.0,203207.0,F,60대이상,71585.0,0.07543219269166013
2025Q3,11110540,삼청동,936140.0,429395.0,506744.0,106257.0,148120.0,164953.0,174663.0,152276.0,189872.0,F,60대이상,-84443.0,-0.08273996333468225
2025Q4,11110540,삼청동,974927.0,447501.0,527426.0,111809.0,152954.0,169365.0,185237.0,157744.0,197820.0,F,60대이상,38787.0,0.041432905334672254
2023Q1,11110550,부암동,1103990.0,493364.0,610626.0,207994.0,130140.0,122888.0,178180.0,176816.0,287973.0,F,60대이상,0.0,0.0
2023Q2,11110550,부암동,1137688.0,508594.0,629094.0,236792.0,149447.0,123511.0,181945.0,177199.0,268791.0,F,60대이상,33698.0,0.030523827208579712
2023Q3,11110550,부암동,1131589.0,509335.0,622256.0,230728.0,134745.0,124991.0,183994.0,180893.0,276238.0,F,60대이상,-6099.0,-0.005360872225073976
2023Q4,11110550,부암동,1166497.0,524518.0,641978.0,233661.0,157796.0,128847.0,186598.0,181640.0,277957.0,F,60대이상,34908.0,0.030848656181705625
2024Q1,11110550,부암동,1079722.0,488605.0,591117.0,211768.0,132020.0,120105.0,175369.0,173451.0,267011.0,F,60대이상,-86775.0,-0.07438938977125531
2024Q2,11110550,부암동,926801.0,414729.0,512073.0,196297.0,128062.0,103104.0,144823.0,141767.0,212746.0,F,60대이상,-152921.0,-0.14162997512322617
2024Q3,11110550,부암동,914885.0,412627.0,502258.0,185392.0,109811.0,103680.0,144832.0,149083.0,222087.0,F,60대이상,-11916.0,-0.012857128984539279
2024Q4,11110550,부암동,961812.0,429275.0,532537.0,194375.0,130973.0,107717.0,146126.0,152743.0,229878.0,F,60대이상,46927.0,0.05129278543204885
2025Q1,11110550,부암동,902967.0,402058.0,500907.0,166855.0,111736.0,104736.0,140747.0,151042.0,227849.0,F,60대이상,-58845.0,-0.06118139511671716
2025Q2,11110550,부암동,931763.0,408212.0,523550.0,190962.0,123900.0,104203.0,141310.0,150542.0,220847.0,F,60대이상,28796.0,0.03189042345955051
2025Q3,11110550,부암동,814204.0,355152.0,459051.0,158005.0,94495.0,91932.0,128204.0,138134.0,203433.0,F,60대이상,-117559.0,-0.12616834967690282
2025Q4,11110550,부암동,844176.0,362813.0,481365.0,160444.0,110168.0,96819.0,132541.0,137800.0,206406.0,F,60대이상,29972.0,0.036811413355866573
2023Q1,11110560,평창동,825452.0,364579.0,460873.0,139668.0,84969.0,90060.0,124075.0,143178.0,243502.0,F,60대이상,0.0,0.0
