분기코드,구코드,구명,총유동인구,남성유동인구,여성유동인구,연령대_10,연령대_20,연령대_30,연령대_40,연령대_50,연령대_60이상,최다성별,최다연령대,유동인구_gap,유동인구_delta
2023Q1,11110,종로구,68350496.0,33052311.0,35298185.0,7213194.0,12856265.0,10872252.0,11088714.0,11262697.0,15057374.0,F,60대이상,0.0,0.0
2023Q2,11110,종로구,69035534.0,33128180.0,35907354.0,7669486.0,13261873.0,10882904.0,10996275.0,11248242.0,14976753.0,F,60대이상,685038.0,0.010022429098393015
2023Q3,11110,종로구,66318125.0,31968453.0,34349672.0,7091839.0,12461661.0,10692464.0,10722141.0,10941341.0,14408681.0,F,60대이상,-2717409.0,-0.03936246802986998
2023Q4,11110,종로구,68732339.0,33030679.0,35701660.0,7553861.0,13333356.0,10921237.0,10999779.0,11206994.0,14717112.0,F,60대이상,2414214.0,0.036403532216871426
2024Q1,11110,종로구,66649984.0,32157573.0,34492412.0,7028075.0,12526193.0,10722868.0,10878828.0,10983369.0,14510653.0,F,60대이상,-2082355.0,-0.030296582806530137
2024Q2,11110,종로구,68281097.0,32607376.0,35673721.0,7561585.0,13505424.0,10845643.0,10877351.0,10937625.0,14553469.0,F,60대이상,1631113.0,0.024472819078246166
2024Q3,11110,종로구,65170668.0,31348665.0,33822003.0,6858675.0,12504655.0,10536976.0,10581463.0,10589050.0,14099850.0,F,60대이상,-3110429.0,-0.04555329566541677
2024Q4,11110,종로구,67784322.0,32394267.0,35390055.0,7312618.0,13379615.0,10778714.0,10895276.0,10879707.0,14538391.0,F,60대이상,2613654.0,0.040104760012587226
2025Q1,11110,종로구,65283405.0,31449217.0,33834188.0,6740492.0,12349203.0,10559996.0,10691375.0,10640572.0,14301766.0,F,60대이상,-2500917.0,-0.03689521302580856
2025Q2,11110,종로구,67472405.0,32057723.0,35414681.0,7279964.0,13321065.0,10840234.0,10899367.0,10803763.0,14328012.0,F,60대이상,2189000.0,0.033530726529965804
2025Q3,11110,종로구,64498615.0,30858173.0,33640441.0,6514909.0,12309188.0,10612717.0,10687442.0,10527055.0,13847302.0,F,60대이상,-2973790.0,-0.04407416632029049
2025Q4,11110,종로구,65802111.0,31327878.0,34474233.0,6861808.0,12986540.0,10581367.0,10717257.0,10588019.0,14067121.0,F,60대이상,1303496.0,0.020209674269749733
2023Q1,11140,중구,59566014.0,29553436.0,30012577.0,4885395.0,10037184.0,12023873.0,10882560.0,9693164.0,12043837.0,F,60대이상,0.0,0.0
2023Q2,11140,중구,60438347.0,29766992.0,30671356.0,5216592.0,10179950.0,12166569.0,10948947.0,9789619.0,12136671.0,F,30대,872333.0,0.014644810713706713
2023Q3,11140,중구,58458194.0,28777883.0,29680311.0,4755223.0,9817075.0,11937345.0,10708081.0,9514893.0,11725577.0,F,30대,-1980153.0,-0.032763189238117274
2023Q4,11140,중구,60590175.0,29720254.0,30869922.0,5103464.0,10307289.0,12192771.0,11016987.0,9846734.0,12122929.0,F,30대,2131981.0,0.03647018243498934
2024Q1,11140,중구,59082215.0,29001289.0,30080926.0,4902799.0,9926838.0,11967681.0,10812798.0,9598826.0,11873272.0,F,30대,-1507960.0,-0.024887863420100742
