구코드,구명,분기코드,구방향성,구종합점수,구등급
11110,종로구,2023Q1,유지,0.5,C
11110,종로구,2023Q2,유지,0.3204029387488755,C
11110,종로구,2023Q3,유지,0.5591038938659101,C
11110,종로구,2023Q4,유지,0.4634408682472169,C
11110,종로구,2024Q1,유지,0.3142696457677426,C
11110,종로구,2024Q2,유지,0.4391782929887674,C
11110,종로구,2024Q3,유지,0.5751509029681835,C
11110,종로구,2024Q4,유지,0.37425751726178186,C
11110,종로구,2025Q1,유지,0.4370614817836617,C
11110,종로구,2025Q2,유지,0.30575301252231385,C
11110,종로구,2025Q3,유지,0.45098264607379945,C
11110,종로구,2025Q4,유지,0.3792519487977786,C
11140,중구,2023Q1,쇠퇴,0.5,D
11140,중구,2023Q2,쇠퇴,0.31839600288830083,D
11140,중구,2023Q3,쇠퇴,0.5732932765503488,E
11140,중구,2023Q4,쇠퇴,0.4414548114536742,D
11140,중구,2024Q1,쇠퇴,0.3269070409630184,D
11140,중구,2024Q2,쇠퇴,0.4199761837697738,D
11140,중구,2024Q3,쇠퇴,0.6283633656911224,D
11140,중구,2024Q4,쇠퇴,0.34959950074319224,D
11140,중구,2025Q1,쇠퇴,0.44823795558076424,E
11140,중구,2025Q2,쇠퇴,0.2743141771401105,D
11140,중구,2025Q3,쇠퇴,0.49159566009410927,D
11140,중구,2025Q4,쇠퇴,0.35664534995662717,D
11170,용산구,2023Q1,유지,0.5,C
11170,용산구,2023Q2,유지,0.3210522557889382,C
11170,용산구,2023Q3,유지,0.5773107228781313,C
11170,용산구,2023Q4,유지,0.4287377573171414,C
11170,용산구,2024Q1,유지,0.3136361415170319,C
11170,용산구,2024Q2,유지,0.364290960675455,C
11170,용산구,2024Q3,유지,0.6020944889466081,C
11170,용산구,2024Q4,유지,0.36012400826929825,C
11170,용산구,2025Q1,유지,0.4453046955138724,C
11170,용산구,2025Q2,유지,0.27053109084317667,C
11170,용산구,2025Q3,유지,0.4914147009938329,C
11170,용산구,2025Q4,유지,0.3513760385133811,C
11200,성동구,2023Q1,쇠퇴,0.5,D
11200,성동구,2023Q2,쇠퇴,0.3104027416024524,D
11200,성동구,2023Q3,쇠퇴,0.5776743762549367,E
11200,성동구,2023Q4,쇠퇴,0.40631710322469045,D
11200,성동구,2024Q1,쇠퇴,0.32405416332494524,D
11200,성동구,2024Q2,쇠퇴,0.387522459593575,D
11200,성동구,2024Q3,쇠퇴,0.5643165627275344,E
11200,성동구,2024Q4,쇠퇴,0.3390736640864103,D
11200,성동구,2025Q1,쇠퇴,0.4511885952353381,E
11200,성동구,2025Q2,쇠퇴,0.27264170760035356,D
11200,성동구,2025Q3,쇠퇴,0.461661098500631,E
11200,성동구,2025Q4,쇠퇴,0.3657459639830007,D
11215,광진구,2023Q1,쇠퇴,0.5,D
11215,광진구,2023Q2,쇠퇴,0.29187526621527454,D
11215,광진구,2023Q3,쇠퇴,0.5544973615020046,E
11215,광진구,2023Q4,쇠퇴,0.41131673810910535,D
11215,광진구,2024Q1,쇠퇴,0.29942483137423,E
11215,광진구,2024Q2,쇠퇴,0.39085054224075777,D
11215,광진구,2024Q3,쇠퇴,0.5630200220886321,E
11215,광진구,2024Q4,쇠퇴,0.3481540224890745,D
11215,광진구,2025Q1,쇠퇴,0.4548925193196347,E
11215,광진구,2025Q2,쇠퇴,0.2765968791377034,D
11215,광진구,2025Q3,쇠퇴,0.4488848325575688,E
11215,광진구,2025Q4,쇠퇴,0.3614522495594819,D
11230,동대문구,2023Q1,성장,0.5,A
11230,동대문구,2023Q2,성장,0.30489157655697274,A
11230,동대문구,2023Q3,성장,0.551696917234683,B
11230,동대문구,2023Q4,성장,0.4186071303972775,A
11230,동대문구,2024Q1,성장,0.3062289993234737,B
11230,동대문구,2024Q2,성장,0.41650742444296757,A
11230,동대문구,2024Q3,성장,0.563226706189305,B
11230,동대문구,2024Q4,성장,0.35509774425154134,A
11230,동대문구,2025Q1,성장,0.450865387763349,B
11230,동대문구,2025Q2,성장,0.2963499778711772,A
11230,동대문구,2025Q3,성장,0.4343813208146017,B
11230,동대문구,2025Q4,성장,0.3950100544920203,A
11260,중랑구,2023Q1,쇠퇴,0.5,D
11260,중랑구,2023Q2,쇠퇴,0.28745209626798557,E
11260,중랑구,2023Q3,쇠퇴,0.5804797477345739,D
11260,중랑구,2023Q4,쇠퇴,0.36051378363863185,E
11260,중랑구,2024Q1,쇠퇴,0.31082243707053164,D
11260,중랑구,2024Q2,쇠퇴,0.38414428174076376,D
11260,중랑구,2024Q3,쇠퇴,0.6008622846333135,D
11260,중랑구,2024Q4,쇠퇴,0.3295763483895025,E
11260,중랑구,2025Q1,쇠퇴,0.4648662179814037,D
11260,중랑구,2025Q2,쇠퇴,0.27372513457112485,D
11260,중랑구,2025Q3,쇠퇴,0.5071243041398217,D
11260,중랑구,2025Q4,쇠퇴,0.3300374952431881,E
11290,성북구,2023Q1,쇠퇴,0.5,D
11290,성북구,2023Q2,쇠퇴,0.3205401886518141,D
11290,성북구,2023Q3,쇠퇴,0.5479674811106118,E
11290,성북구,2023Q4,쇠퇴,0.41659200471259156,D
11290,성북구,2024Q1,쇠퇴,0.3005830108360167,E
11290,성북구,2024Q2,쇠퇴,0.4205702878115691,D
11290,성북구,2024Q3,쇠퇴,0.5390954313852192,E
11290,성북구,2024Q4,쇠퇴,0.35753129663632255,D
11290,성북구,2025Q1,쇠퇴,0.44400815325012466,E
11290,성북구,2025Q2,쇠퇴,0.3103190577803075,D
11290,성북구,2025Q3,쇠퇴,0.4547774616160288,E
11290,성북구,2025Q4,쇠퇴,0.3852930748402304,D
11305,강북구,2023Q1,쇠퇴,0.5,D
11305,강북구,2023Q2,쇠퇴,0.28691922108723467,E
11305,강북구,2023Q3,쇠퇴,0.5795339084324396,E
11305,강북구,2023Q4,쇠퇴,0.4050545753782262,D
11305,강북구,2024Q1,쇠퇴,0.28697013794384263,E
11305,강북구,2024Q2,쇠퇴,0.38540382844907384,D
11305,강북구,2024Q3,쇠퇴,0.5722290128679428,E
11305,강북구,2024Q4,쇠퇴,0.32123927844438777,E
11305,강북구,2025Q1,쇠퇴,0.454907441316821,E
11305,강북구,2025Q2,쇠퇴,0.2707176980870237,E
11305,강북구,2025Q3,쇠퇴,0.4546560182882504,E
11305,강북구,2025Q4,쇠퇴,0.3267429073816874,E
11320,도봉구,2023Q1,쇠퇴,0.5,D
11320,도봉구,2023Q2,쇠퇴,0.2988915702244587,D
11320,도봉구,2023Q3,쇠퇴,0.5880423532924236,D
11320,도봉구,2023Q4,쇠퇴,0.35888643076777327,E
11320,도봉구,2024Q1,쇠퇴,0.3252946900260769,D
11320,도봉구,2024Q2,쇠퇴,0.38381160253478425,E
11320,도봉구,2024Q3,쇠퇴,0.5992000228008526,D
11320,도봉구,2024Q4,쇠퇴,0.32844175586245195,E
11320,도봉구,2025Q1,쇠퇴,0.47034670179624233,D
11320,도봉구,2025Q2,쇠퇴,0.29383756497061575,D
11320,도봉구,2025Q3,쇠퇴,0.4745388825022023,D
11320,도봉구,2025Q4,쇠퇴,0.32938843443692273,E
11350,노원구,2023Q1,유지,0.5,C
11350,노원구,2023Q2,유지,0.3057650291534934,C
11350,노원구,2023Q3,유지,0.5793991528811212,C
11350,노원구,2023Q4,유지,0.3976197033355861,C
11350,노원구,2024Q1,유지,0.31124391666749457,C
11350,노원구,2024Q2,유지,0.38891580979409723,C
11350,노원구,2024Q3,유지,0.5781699046567866,C
