구코드,구명,분기코드,임대료,임대료_delta,임대료_gap
11110,종로구,2023Q1,70.8,0.0,0.0
11110,종로구,2023Q2,70.75,-0.0007,-0.05
11110,종로구,2023Q3,71.25,0.0071,0.5
11110,종로구,2023Q4,71.45,0.0028,0.2
11110,종로구,2024Q1,71.9,0.0063,0.45
11110,종로구,2024Q2,71.975,0.001,0.075
11110,종로구,2024Q3,78.225,0.0868,6.25
11110,종로구,2024Q4,78.35,0.0016,0.125
11110,종로구,2025Q1,78.22500000000001,-0.0016,-0.125
11110,종로구,2025Q2,78.05,-0.0022,-0.175
11110,종로구,2025Q3,78.125,0.001,0.075
11110,종로구,2025Q4,78.375,0.0032,0.25
11140,중구,2023Q1,78.94,0.0,0.0
11140,중구,2023Q2,79.08,0.0018,0.14
11140,중구,2023Q3,79.7,0.0078,0.62
11140,중구,2023Q4,80.6,0.0113,0.9
11140,중구,2024Q1,81.11999999999999,0.0065,0.52
11140,중구,2024Q2,81.88,0.0094,0.76
11140,중구,2024Q3,84.56,0.0327,2.68
11140,중구,2024Q4,84.9,0.004,0.34
11140,중구,2025Q1,84.78,-0.0014,-0.12
11140,중구,2025Q2,86.16,0.0163,1.38
11140,중구,2025Q3,86.6,0.0051,0.44
11140,중구,2025Q4,87.38,0.009,0.78
11170,용산구,2023Q1,53.03333333333333,0.0,0.0
11170,용산구,2023Q2,53.06666666666666,0.0006,0.0333
11170,용산구,2023Q3,53.46666666666667,0.0075,0.4
11170,용산구,2023Q4,53.63333333333333,0.0031,0.1667
11170,용산구,2024Q1,53.9,0.005,0.2667
11170,용산구,2024Q2,54.46666666666667,0.0105,0.5667
11170,용산구,2024Q3,57.0,0.0465,2.5333
11170,용산구,2024Q4,57.099999999999994,0.0018,0.1
11170,용산구,2025Q1,57.43333333333334,0.0058,0.3333
11170,용산구,2025Q2,57.63333333333333,0.0035,0.2
11170,용산구,2025Q3,58.199999999999996,0.0098,0.5667
11170,용산구,2025Q4,58.76666666666666,0.0097,0.5667
11200,성동구,2023Q1,46.7,0.0,0.0
11200,성동구,2023Q2,47.05,0.0075,0.35
11200,성동구,2023Q3,47.55,0.0106,0.5
11200,성동구,2023Q4,48.0,0.0095,0.45
11200,성동구,2024Q1,48.55,0.0115,0.55
11200,성동구,2024Q2,49.05,0.0103,0.5
11200,성동구,2024Q3,50.05,0.0204,1.0
11200,성동구,2024Q4,50.75,0.014,0.7
11200,성동구,2025Q1,51.3,0.0108,0.55
11200,성동구,2025Q2,51.6,0.0058,0.3
11200,성동구,2025Q3,52.1,0.0097,0.5
11200,성동구,2025Q4,52.9,0.0154,0.8
11215,광진구,2023Q1,46.5,0.0,0.0
11215,광진구,2023Q2,46.4,-0.0022,-0.1
11215,광진구,2023Q3,46.5,0.0022,0.1
11215,광진구,2023Q4,46.7,0.0043,0.2
11215,광진구,2024Q1,46.7,0.0,0.0
11215,광진구,2024Q2,46.5,-0.0043,-0.2
11215,광진구,2024Q3,50.4,0.0839,3.9
