구코드,구명,분기코드,점포수,카테고리,점포수_증감률,폐업률,점포수_gap,폐업률_delta,폐업률_gap,카테고리_코드
11110,종로구,2023Q1,307,분식전문점,0.0,0.0,0,0.0,0.0,SNACK
11110,종로구,2023Q2,326,분식전문점,0.0619,0.0489,19,0.0,0.0,SNACK
11110,종로구,2023Q3,320,분식전문점,-0.0184,0.0767,-6,0.5695,0.0278,SNACK
11110,종로구,2023Q4,317,분식전문점,-0.0094,0.0438,-3,-0.4295,-0.0329,SNACK
11110,종로구,2024Q1,315,분식전문점,-0.0063,0.0694,-2,0.5863,0.0257,SNACK
11110,종로구,2024Q2,305,분식전문점,-0.0317,0.0476,-10,-0.3139,-0.0218,SNACK
11110,종로구,2024Q3,294,분식전문점,-0.0361,0.0361,-11,-0.2426,-0.0116,SNACK
11110,종로구,2024Q4,312,분식전문점,0.0612,0.0374,18,0.0374,0.0013,SNACK
11110,종로구,2025Q1,306,분식전문점,-0.0192,0.0513,-6,0.3706,0.0139,SNACK
11110,종로구,2025Q2,303,분식전문점,-0.0098,0.0588,-3,0.1471,0.0075,SNACK
11110,종로구,2025Q3,294,분식전문점,-0.0297,0.033,-9,-0.4389,-0.0258,SNACK
11110,종로구,2025Q4,287,분식전문점,-0.0238,0.0408,-7,0.2367,0.0078,SNACK
11110,종로구,2023Q1,343,양식음식점,0.0,0.0,0,0.0,0.0,WESTERN
11110,종로구,2023Q2,383,양식음식점,0.1166,0.0262,40,0.0,0.0,WESTERN
11110,종로구,2023Q3,389,양식음식점,0.0157,0.0574,6,1.1891,0.0312,WESTERN
11110,종로구,2023Q4,384,양식음식점,-0.0129,0.054,-5,-0.0602,-0.0035,WESTERN
11110,종로구,2024Q1,386,양식음식점,0.0052,0.0833,2,0.5437,0.0293,WESTERN
11110,종로구,2024Q2,379,양식음식점,-0.0181,0.0415,-7,-0.5026,-0.0419,WESTERN
11110,종로구,2024Q3,364,양식음식점,-0.0396,0.0475,-15,0.1458,0.006,WESTERN
11110,종로구,2024Q4,399,양식음식점,0.0962,0.0632,35,0.3304,0.0157,WESTERN
11110,종로구,2025Q1,392,양식음식점,-0.0175,0.0551,-7,-0.1274,-0.008,WESTERN
11110,종로구,2025Q2,385,양식음식점,-0.0179,0.0612,-7,0.1104,0.0061,WESTERN
11110,종로구,2025Q3,389,양식음식점,0.0104,0.039,4,-0.3636,-0.0223,WESTERN
11110,종로구,2025Q4,405,양식음식점,0.0411,0.0283,16,-0.2742,-0.0107,WESTERN
11110,종로구,2023Q1,251,일식음식점,0.0,0.0,0,0.0,0.0,JAPANESE
11110,종로구,2023Q2,275,일식음식점,0.0956,0.0518,24,0.0,0.0,JAPANESE
11110,종로구,2023Q3,274,일식음식점,-0.0036,0.0873,-1,0.685,0.0355,JAPANESE
11110,종로구,2023Q4,269,일식음식점,-0.0182,0.062,-5,-0.2891,-0.0252,JAPANESE
11110,종로구,2024Q1,272,일식음식점,0.0112,0.0855,3,0.3781,0.0235,JAPANESE
11110,종로구,2024Q2,272,일식음식점,0.0,0.0404,0,-0.527,-0.0451,JAPANESE
11110,종로구,2024Q3,264,일식음식점,-0.0294,0.0368,-8,-0.0909,-0.0037,JAPANESE
11110,종로구,2024Q4,297,일식음식점,0.125,0.0568,33,0.5455,0.0201,JAPANESE
11110,종로구,2025Q1,296,일식음식점,-0.0034,0.0539,-1,-0.0519,-0.0029,JAPANESE
11110,종로구,2025Q2,292,일식음식점,-0.0135,0.0541,-4,0.0034,0.0002,JAPANESE
11110,종로구,2025Q3,284,일식음식점,-0.0274,0.0479,-8,-0.113,-0.0061,JAPANESE
11110,종로구,2025Q4,298,일식음식점,0.0493,0.0282,14,-0.4125,-0.0198,JAPANESE
11110,종로구,2023Q1,5890,전체,0.0,0.0,0,0.0,0.0,ALL
11110,종로구,2023Q2,6326,전체,0.074,0.0465,436,0.0,0.0,ALL
11110,종로구,2023Q3,6221,전체,-0.0166,0.0751,-105,0.6141,0.0286,ALL
11110,종로구,2023Q4,6203,전체,-0.0029,0.0445,-18,-0.407,-0.0306,ALL
11110,종로구,2024Q1,6165,전체,-0.0061,0.0724,-38,0.6256,0.0279,ALL
11110,종로구,2024Q2,6070,전체,-0.0154,0.0376,-95,-0.4801,-0.0348,ALL
11110,종로구,2024Q3,5893,전체,-0.0292,0.0318,-177,-0.1551,-0.0058,ALL
11110,종로구,2024Q4,6578,전체,0.1162,0.0652,685,1.0494,0.0334,ALL
11110,종로구,2025Q1,6458,전체,-0.0182,0.0652,-120,0.0008,0.0001,ALL
11110,종로구,2025Q2,6296,전체,-0.0251,0.0574,-162,-0.1191,-0.0078,ALL
11110,종로구,2025Q3,6282,전체,-0.0022,0.0384,-14,-0.3309,-0.019,ALL
11110,종로구,2025Q4,6329,전체,0.0075,0.0345,47,-0.1013,-0.0039,ALL
11110,종로구,2023Q1,184,제과점,0.0,0.0,0,0.0,0.0,BAKERY
11110,종로구,2023Q2,199,제과점,0.0815,0.0598,15,0.0,0.0,BAKERY
11110,종로구,2023Q3,194,제과점,-0.0251,0.0854,-5,0.429,0.0256,BAKERY
11110,종로구,2023Q4,197,제과점,0.0155,0.0309,3,-0.638,-0.0545,BAKERY
11110,종로구,2024Q1,193,제과점,-0.0203,0.0812,-4,1.6261,0.0503,BAKERY
11110,종로구,2024Q2,193,제과점,0.0,0.0155,0,-0.8086,-0.0657,BAKERY
11110,종로구,2024Q3,185,제과점,-0.0415,0.0415,-8,1.6667,0.0259,BAKERY
11110,종로구,2024Q4,207,제과점,0.1189,0.1189,22,1.8689,0.0775,BAKERY
11110,종로구,2025Q1,208,제과점,0.0048,0.058,1,-0.5125,-0.0609,BAKERY
11110,종로구,2025Q2,204,제과점,-0.0192,0.0288,-4,-0.5024,-0.0291,BAKERY
11110,종로구,2025Q3,203,제과점,-0.0049,0.0245,-1,-0.1503,-0.0043,BAKERY
11110,종로구,2025Q4,213,제과점,0.0493,0.0197,10,-0.1961,-0.0048,BAKERY
11110,종로구,2023Q1,181,중식음식점,0.0,0.0,0,0.0,0.0,CHINESE
11110,종로구,2023Q2,193,중식음식점,0.0663,0.0663,12,0.0,0.0,CHINESE
11110,종로구,2023Q3,188,중식음식점,-0.0259,0.0829,-5,0.2504,0.0166,CHINESE
11110,종로구,2023Q4,185,중식음식점,-0.016,0.0532,-3,-0.3584,-0.0297,CHINESE
11110,종로구,2024Q1,185,중식음식점,0.0,0.0703,0,0.3211,0.0171,CHINESE
11110,종로구,2024Q2,179,중식음식점,-0.0324,0.0486,-6,-0.3077,-0.0216,CHINESE
11110,종로구,2024Q3,174,중식음식점,-0.0279,0.0279,-5,-0.4258,-0.0207,CHINESE
11110,종로구,2024Q4,189,중식음식점,0.0862,0.0747,15,1.6747,0.0468,CHINESE
11110,종로구,2025Q1,181,중식음식점,-0.0423,0.0688,-8,-0.0794,-0.0059,CHINESE
11110,종로구,2025Q2,180,중식음식점,-0.0055,0.0552,-1,-0.1968,-0.0135,CHINESE
11110,종로구,2025Q3,177,중식음식점,-0.0167,0.0333,-3,-0.3967,-0.0219,CHINESE
11110,종로구,2025Q4,180,중식음식점,0.0169,0.0282,3,-0.1525,-0.0051,CHINESE
11110,종로구,2023Q1,151,치킨전문점,0.0,0.0,0,0.0,0.0,CHICKEN
11110,종로구,2023Q2,154,치킨전문점,0.0199,0.0728,3,0.0,0.0,CHICKEN
11110,종로구,2023Q3,151,치킨전문점,-0.0195,0.0909,-3,0.2479,0.0181,CHICKEN
11110,종로구,2023Q4,150,치킨전문점,-0.0066,0.0596,-1,-0.3444,-0.0313,CHICKEN
11110,종로구,2024Q1,148,치킨전문점,-0.0133,0.0867,-2,0.4541,0.0271,CHICKEN
11110,종로구,2024Q2,142,치킨전문점,-0.0405,0.0405,-6,-0.5322,-0.0461,CHICKEN
11110,종로구,2024Q3,138,치킨전문점,-0.0282,0.0282,-4,-0.3052,-0.0124,CHICKEN
11110,종로구,2024Q4,155,치킨전문점,0.1232,0.0362,17,0.2862,0.0081,CHICKEN
11110,종로구,2025Q1,150,치킨전문점,-0.0323,0.0387,-5,0.0684,0.0025,CHICKEN
11110,종로구,2025Q2,144,치킨전문점,-0.04,0.06,-6,0.55,0.0213,CHICKEN
11110,종로구,2025Q3,141,치킨전문점,-0.0208,0.0347,-3,-0.4213,-0.0253,CHICKEN
11110,종로구,2025Q4,134,치킨전문점,-0.0496,0.0496,-7,0.4298,0.0149,CHICKEN
11110,종로구,2023Q1,1182,커피-음료,0.0,0.0,0,0.0,0.0,CAFE
11110,종로구,2023Q2,1288,커피-음료,0.0897,0.0567,106,0.0,0.0,CAFE
11110,종로구,2023Q3,1238,커피-음료,-0.0388,0.0901,-50,0.5889,0.0334,CAFE
11110,종로구,2023Q4,1251,커피-음료,0.0105,0.0404,13,-0.5516,-0.0497,CAFE
11110,종로구,2024Q1,1222,커피-음료,-0.0232,0.0831,-29,1.0584,0.0427,CAFE
11110,종로구,2024Q2,1201,커피-음료,-0.0172,0.0401,-21,-0.5177,-0.043,CAFE
11110,종로구,2024Q3,1167,커피-음료,-0.0283,0.0316,-34,-0.2109,-0.0085,CAFE
11110,종로구,2024Q4,1326,커피-음료,0.1362,0.0951,159,2.0062,0.0635,CAFE
11110,종로구,2025Q1,1331,커피-음료,0.0038,0.0747,5,-0.2151,-0.0205,CAFE
11110,종로구,2025Q2,1267,커피-음료,-0.0481,0.0751,-64,0.0063,0.0005,CAFE
11110,종로구,2025Q3,1280,커피-음료,0.0103,0.0426,13,-0.4327,-0.0325,CAFE
11110,종로구,2025Q4,1265,커피-음료,-0.0117,0.0375,-15,-0.1201,-0.0051,CAFE
11110,종로구,2023Q1,158,패스트푸드점,0.0,0.0,0,0.0,0.0,FASTFOOD
11110,종로구,2023Q2,194,패스트푸드점,0.2278,0.038,36,0.0,0.0,FASTFOOD
11110,종로구,2023Q3,188,패스트푸드점,-0.0309,0.1134,-6,1.9863,0.0754,FASTFOOD
11110,종로구,2023Q4,186,패스트푸드점,-0.0106,0.0638,-2,-0.4371,-0.0496,FASTFOOD
11110,종로구,2024Q1,195,패스트푸드점,0.0484,0.0806,9,0.2634,0.0168,FASTFOOD
11110,종로구,2024Q2,191,패스트푸드점,-0.0205,0.0462,-4,-0.4277,-0.0345,FASTFOOD
11110,종로구,2024Q3,187,패스트푸드점,-0.0209,0.0209,-4,-0.5462,-0.0252,FASTFOOD
11110,종로구,2024Q4,205,패스트푸드점,0.0963,0.1925,18,8.1925,0.1716,FASTFOOD
11110,종로구,2025Q1,219,패스트푸드점,0.0683,0.0683,14,-0.6453,-0.1242,FASTFOOD
11110,종로구,2025Q2,208,패스트푸드점,-0.0502,0.0913,-11,0.3372,0.023,FASTFOOD
11110,종로구,2025Q3,214,패스트푸드점,0.0288,0.024,6,-0.7368,-0.0673,FASTFOOD
11110,종로구,2025Q4,210,패스트푸드점,-0.0187,0.0374,-4,0.5551,0.0133,FASTFOOD
11110,종로구,2023Q1,2225,한식음식점,0.0,0.0,0,0.0,0.0,KOREAN
11110,종로구,2023Q2,2380,한식음식점,0.0697,0.0409,155,0.0,0.0,KOREAN
11110,종로구,2023Q3,2363,한식음식점,-0.0071,0.0626,-17,0.5307,0.0217,KOREAN
11110,종로구,2023Q4,2341,한식음식점,-0.0093,0.044,-22,-0.297,-0.0186,KOREAN
11110,종로구,2024Q1,2351,한식음식점,0.0043,0.0619,10,0.4073,0.0179,KOREAN
11110,종로구,2024Q2,2317,한식음식점,-0.0145,0.0328,-34,-0.4712,-0.0292,KOREAN
11110,종로구,2024Q3,2256,한식음식점,-0.0263,0.0289,-61,-0.1171,-0.0038,KOREAN
11110,종로구,2024Q4,2561,한식음식점,0.1352,0.0501,305,0.7322,0.0212,KOREAN
11110,종로구,2025Q1,2467,한식음식점,-0.0367,0.075,-94,0.4968,0.0249,KOREAN
11110,종로구,2025Q2,2414,한식음식점,-0.0215,0.0563,-53,-0.2485,-0.0186,KOREAN
11110,종로구,2025Q3,2435,한식음식점,0.0087,0.0373,21,-0.3383,-0.0191,KOREAN
11110,종로구,2025Q4,2502,한식음식점,0.0275,0.0304,67,-0.1849,-0.0069,KOREAN
11110,종로구,2023Q1,908,호프-간이주점,0.0,0.0,0,0.0,0.0,PUB
11110,종로구,2023Q2,934,호프-간이주점,0.0286,0.043,26,0.0,0.0,PUB
11110,종로구,2023Q3,916,호프-간이주점,-0.0193,0.0749,-18,0.7449,0.032,PUB
11110,종로구,2023Q4,923,호프-간이주점,0.0076,0.0371,7,-0.5047,-0.0378,PUB
11110,종로구,2024Q1,898,호프-간이주점,-0.0271,0.0715,-25,0.9265,0.0344,PUB
11110,종로구,2024Q2,891,호프-간이주점,-0.0078,0.0412,-7,-0.4238,-0.0303,PUB
11110,종로구,2024Q3,864,호프-간이주점,-0.0303,0.0314,-27,-0.2373,-0.0098,PUB
11110,종로구,2024Q4,927,호프-간이주점,0.0729,0.0405,63,0.2891,0.0091,PUB
11110,종로구,2025Q1,908,호프-간이주점,-0.0205,0.0421,-19,0.0386,0.0016,PUB
11110,종로구,2025Q2,899,호프-간이주점,-0.0099,0.0319,-9,-0.2409,-0.0101,PUB
11110,종로구,2025Q3,865,호프-간이주점,-0.0378,0.0423,-34,0.3235,0.0103,PUB
11110,종로구,2025Q4,835,호프-간이주점,-0.0347,0.0462,-30,0.094,0.004,PUB
11140,중구,2023Q1,334,분식전문점,0.0,0.0,0,0.0,0.0,SNACK
11140,중구,2023Q2,343,분식전문점,0.0269,0.0539,9,0.0,0.0,SNACK
