구코드,구명,분기코드,공실률,공실률_delta,공실률_gap
11110,종로구,2023Q1,3.3249999999999997,0.0,0.0
11110,종로구,2023Q2,5.075,0.5263,1.75
11110,종로구,2023Q3,4.35,-0.1429,-0.725
11110,종로구,2023Q4,2.0,-0.5402,-2.35
11110,종로구,2024Q1,1.7999999999999998,-0.1,-0.2
11110,종로구,2024Q2,1.7249999999999999,-0.0417,-0.075
11110,종로구,2024Q3,1.9,0.1014,0.175
11110,종로구,2024Q4,2.55,0.3421,0.65
11110,종로구,2025Q1,2.55,0.0,0.0
11110,종로구,2025Q2,1.25,-0.5098,-1.3
11110,종로구,2025Q3,1.9,0.52,0.65
11110,종로구,2025Q4,0.6,-0.6842,-1.3
11140,중구,2023Q1,9.219999999999999,0.0,0.0
11140,중구,2023Q2,10.16,0.102,0.94
11140,중구,2023Q3,8.540000000000001,-0.1594,-1.62
11140,중구,2023Q4,8.4,-0.0164,-0.14
11140,중구,2024Q1,4.819999999999999,-0.4262,-3.58
11140,중구,2024Q2,4.74,-0.0166,-0.08
11140,중구,2024Q3,3.7600000000000002,-0.2068,-0.98
11140,중구,2024Q4,4.86,0.2926,1.1
11140,중구,2025Q1,5.12,0.0535,0.26
11140,중구,2025Q2,2.48,-0.5156,-2.64
11140,중구,2025Q3,2.62,0.0565,0.14
11140,중구,2025Q4,3.2399999999999998,0.2366,0.62
11170,용산구,2023Q1,11.299999999999999,0.0,0.0
11170,용산구,2023Q2,9.233333333333334,-0.1829,-2.0667
11170,용산구,2023Q3,9.233333333333334,0.0,0.0
11170,용산구,2023Q4,12.633333333333333,0.3682,3.4
11170,용산구,2024Q1,12.633333333333333,0.0,0.0
11170,용산구,2024Q2,12.633333333333333,0.0,0.0
11170,용산구,2024Q3,12.966666666666667,0.0264,0.3333
11170,용산구,2024Q4,13.066666666666668,0.0077,0.1
11170,용산구,2025Q1,6.3999999999999995,-0.5102,-6.6667
11170,용산구,2025Q2,6.3999999999999995,0.0,0.0
11170,용산구,2025Q3,7.3999999999999995,0.1562,1.0
11170,용산구,2025Q4,8.366666666666667,0.1306,0.9667
11200,성동구,2023Q1,4.85,0.0,0.0
